Hanja,mean,sound,meanFiveElements,soundFiveElements
繇,"역사, 우거지다, 역사 부역, 노래, 흔들리다, 사람 이름",요,목,토
喜,"기쁠, 기쁘다, 기뻐하다, 좋아하다, 기쁨 불용문자 ",희,수,토
坪,"평평할, 벌, 들",평,토,수토
适,"빠를, 빠르다, 신속하다",괄,토,목화
開,"열, 열다, 열리다, 벌리다, 펴다, (꽃 따위가) 피다, 깨우치다, 풀다, 놓아주다",개,목,목
澎,"물이름, 물결이 서로 부딪치는 소리",팽,수,수토
璼,"옥 이름, 옥 이름",람,금,화수
泿,"물가, 물가",은,수,토화
舃,"까치, 신, 신발, 주춧돌, 소금밭, 개펄, 빛나다, 빛내다, 잇다, 이어지다",작,목,금목
姁,"아름다울, 아름답다, 예쁘다, 할머니",후,토,토
麪,"밀가루, 밀가루 , 국수 , 밀을 빻아서 만든 가루 , 보릿가루",면,목,수화
