question,answer
"오행을 목은 3개, 화는 2개, 수는 0개, 토는 1개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","수, 금이 없는 사주입니다. 따라서 수, 금의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 3개, 화는 0개, 수는 2개, 토는 1개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","화, 금이 없는 사주입니다. 따라서 화, 금의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 2개, 화는 2개, 수는 2개, 토는 0개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","토, 금이 없는 사주입니다. 따라서 토, 금의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 3개, 화는 1개, 수는 1개, 토는 1개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","금이 없는 사주입니다. 따라서 금을 하나 보충하면 좋습니다. 그렇게 되면 오행을 고루 가지고 있게 되는데, 자세히 보면 목이 강한 사주이기에 목을 상극하는 금을 하나 더 보충하는 것이 좋습니다. 즉, 금의 오행을 두개 보충하는 것이 좋습니다."
"오행을 목은 0개, 화는 3개, 수는 3개, 토는 0개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","화, 수가 강하고 목, 토, 금은 없는 사주입니다. 따라서 목, 토, 금 중에 두개를 보충하면 되는데 화를 상생시키는 목과 수를 상생시키는 금을 보충하는 것이 좋습니다. 즉, 목과 금의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 0개, 화는 0개, 수는 4개, 토는 2개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","수가 강하고 목, 화, 금은 없는 사주입니다. 따라서 목, 화, 금 중 두개를 보충하면 되는데 수를 상극하는 토를 이미 가지고 있기에 토를 상생시키는 화와 화를 상생시키는 목을 보충하는 것이 좋습니다. 즉, 화와 목의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 0개, 화는 0개, 수는 1개, 토는 1개, 금은 4개를 가지고 있어 어떤 오행을 보충해야 돼?","목, 화이 없는 사주입니다. 따라서 목, 화의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 5개, 화는 0개, 수는 0개, 토는 1개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","목이 너무 강하고 화, 수, 금은 없는 사주입니다. 따라서 화, 수, 금 중 두개를 보충하면 되는데, 목을 억제할 수 있는 금과 금을 상생하는 토가 있으면 좋습니다. 이때, 이미 토를 가지고 있기 때문에 토를 상생할 수 있는 화를 하나씩 보충해야 합니다. 즉 금과 화의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 0개, 화는 5개, 수는 0개, 토는 1개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","화가 너무 강하고 목, 수, 금은 없는 사주입니다. 따라서 화을 상극할 수 있는 수가 필요합니다. 그리고 해당 수를 상생시키는 금도 보충하면 좋습니다. 즉, 수와 금의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 0개, 화는 0개, 수는 6개, 토는 0개, 금은 0개를 가지고 있어 어떤 오행을 보충해야 돼?","수가 너무 강하고 목, 수, 토, 금은 없는 사주입니다. 따라서 수을 억제할 수 있는 토가 하나 필요합니다. 그리고 해당 토를 상생하는 화도 보충하면 좋습니다. 즉, 토와 화의 오행을 하나씩 보충하는 것이 좋습니다."
